Country_Region,Confirmed,Deaths,Recovered,Active
Afghanistan,1026,36,135,855
Albania,584,26,327,231
Algeria,2718,384,1099,1235
Andorra,717,37,248,432
Angola,24,2,6,16
Antigua and Barbuda,23,3,3,17
Argentina,2941,136,737,2068
Armenia,1339,22,580,737
Australia,6547,67,4124,2356
Austria,14795,470,10631,3694
Azerbaijan,1436,19,791,626
Bahamas,60,9,11,40
Bahrain,1907,7,769,1131
Bangladesh,2948,101,85,2762
Barbados,75,5,19,51
Belarus,6264,51,514,5699
Belgium,39983,5828,8895,25260
Belize,18,2,2,14
Benin,54,1,27,26
Bhutan,5,0,2,3
Bolivia,564,33,31,500
Bosnia and Herzegovina,1309,49,381,879
Botswana,20,1,0,19
Brazil,40743,2587,22130,16026
Brunei,138,1,116,21
Bulgaria,929,43,167,719
Burkina Faso,581,38,357,186
Burma,119,5,7,107
Burundi,5,1,4,0
Cabo Verde,67,1,1,65
Cambodia,122,0,107,15
Cameroon,1163,42,305,816
Canada,37658,1726,12543,23389
Central African Republic,12,0,4,8
Chad,33,0,8,25
Chile,10507,139,4676,5692
China,83817,4636,77745,1436
Colombia,3977,189,804,2984
Congo (Brazzaville),160,6,16,138
Congo (Kinshasa),332,25,27,280
Costa Rica,662,6,124,532
Cote d'Ivoire,847,9,260,578
Croatia,1881,47,771,1063
Cuba,1087,36,285,766
Cyprus,772,12,81,679
Czechia,6900,194,1559,5147
Denmark,7711,364,4499,2848
Diamond Princess,712,13,644,55
Djibouti,846,2,102,742
Dominica,16,0,8,8
Dominican Republic,4964,235,416,4313
Ecuador,10128,507,1150,8471
Egypt,3333,250,821,2262
El Salvador,218,7,46,165
Equatorial Guinea,79,0,7,72
Eritrea,39,0,3,36
Estonia,1535,40,165,1330
Eswatini,24,1,8,15
Ethiopia,111,3,16,92
Fiji,18,0,3,15
Finland,3868,98,2000,1770
France,156480,20292,38036,98152
Gabon,120,1,7,112
Gambia,10,1,2,7
Georgia,402,4,95,303
Germany,147065,4862,91500,50703
Ghana,1042,9,99,934
Greece,2245,116,269,1860
Grenada,14,0,6,8
Guatemala,289,7,21,261
Guinea,622,5,122,495
Guinea-Bissau,50,0,3,47
Guyana,65,7,9,49
Haiti,57,3,0,54
Holy See,9,0,2,7
Honduras,477,46,25,406
Hungary,1984,199,267,1518
Iceland,1773,10,1362,401
India,18539,592,3273,14674
Indonesia,6760,590,747,5423
Iran,83505,5209,59273,19023
Iraq,1574,82,1043,449
Ireland,15652,687,77,14888
Israel,13713,177,4049,9487
Italy,181228,24114,48877,108237
Jamaica,223,5,27,191
Japan,10797,236,1159,9402
Jordan,425,7,282,136
Kazakhstan,1852,19,447,1386
Kenya,281,14,69,198
"Korea, South",10674,236,8114,2324
Kosovo,510,12,93,405
Kuwait,1995,9,367,1619
Kyrgyzstan,568,7,201,360
Laos,19,0,2,17
Latvia,739,5,88,646
Lebanon,677,21,103,553
Liberia,99,8,7,84
Libya,51,1,15,35
Liechtenstein,81,1,55,25
Lithuania,1326,37,242,1047
Luxembourg,3558,75,637,2846
MS Zaandam,9,2,0,7
Madagascar,121,0,41,80
Malawi,17,2,3,12
Malaysia,5425,89,3295,2041
Maldives,69,0,16,53
Mali,246,14,56,176
Malta,431,3,126,302
Mauritania,7,1,6,0
Mauritius,328,9,224,95
Mexico,8261,686,2627,4948
Moldova,2548,70,457,2021
Monaco,94,3,23,68
Mongolia,33,0,7,26
Montenegro,312,5,88,219
Morocco,3046,143,350,2553
Mozambique,39,0,8,31
Namibia,16,0,6,10
Nepal,31,0,4,27
Netherlands,33588,3764,322,29502
New Zealand,1440,12,974,454
Nicaragua,10,2,6,2
Niger,648,20,117,511
Nigeria,665,22,188,455
North Macedonia,1225,54,200,971
Norway,7156,181,32,6943
Oman,1410,7,238,1165
Pakistan,8418,176,1970,6272
Panama,4467,126,165,4176
Papua New Guinea,7,0,0,7
Paraguay,208,8,46,154
Peru,16325,445,6968,8912
Philippines,6459,428,613,5418
Poland,9593,380,1133,8080
Portugal,20863,735,610,19518
Qatar,6015,9,555,5451
Romania,8936,478,2017,6441
Russia,47121,405,3446,43270
Rwanda,147,0,76,71
Saint Kitts and Nevis,15,0,0,15
Saint Lucia,15,0,13,2
Saint Vincent and the Grenadines,12,0,1,11
San Marino,462,39,61,362
Sao Tome and Principe,4,0,0,4
Saudi Arabia,10484,103,1490,8891
Senegal,377,5,235,137
Serbia,6630,125,870,5635
Seychelles,11,0,5,6
Sierra Leone,43,0,6,37
Singapore,8014,11,801,7202
Slovakia,1173,13,251,909
Slovenia,1335,77,193,1065
Somalia,237,8,4,225
South Africa,3300,58,1055,2187
South Sudan,4,0,0,4
Spain,200210,20852,80587,98771
Sri Lanka,304,7,98,199
Sudan,107,12,8,87
Suriname,10,1,6,3
Sweden,14777,1580,550,12647
Switzerland,27944,1429,18600,7915
Syria,39,3,5,31
Taiwan*,422,6,203,213
Tanzania,254,10,11,233
Thailand,2792,47,1999,746
Timor-Leste,22,0,1,21
Togo,84,6,53,25
Trinidad and Tobago,114,8,22,84
Tunisia,884,38,148,698
Turkey,90980,2140,13430,75410
US,784326,42094,72329,669903
Uganda,56,0,38,18
Ukraine,5710,151,359,5200
United Arab Emirates,7265,43,1360,5862
United Kingdom,125856,16550,446,108860
Uruguay,535,10,313,212
Uzbekistan,1627,5,261,1361
Venezuela,256,9,117,130
Vietnam,268,0,214,54
West Bank and Gaza,449,3,71,375
Western Sahara,6,0,0,6
Yemen,1,0,0,1
Zambia,65,3,35,27
Zimbabwe,25,3,2,20